STRAIN,SPECIES,GENOTYPE,COMMENTS,FROM,OTHER NAMES
JU2206,Caenorhabditis briggsae,wild isolate,"Isolated by Lise Fr_zal from the apple O914 collected in Orsay orchard (Essonne, France) on 7 Sep 2012. Season with few apples;. Line started from an L4 larva on 7 Sep 2012.",LF,o914-B4
JU2208,Caenorhabditis briggsae,wild isolate,"Isolated by Lise Fr_zal from the apple O914 collected in Orsay orchard (Essonne, France) on 7 Sep 2012. Season with few apples; Line started from an L4 larva on 7 Sep 2012.",Lise Fr_zal (LF),o914-A5
JU2212,Panagrolaimus sp.,wild isolate,"Gonochoristic. Isolated from a soil sample rom a dry wash channe, HŸschul uul, Mongolia, sampled by David Hall on 20 Aug 2012.",Dave Hall and MAF,Mong2.3
JU2213,Caenorhabditis sp. 8 or 24,wild isolate,"Male-female species isolated by Lise Fr_zal from a mango collected in Tarapoto (Peru; -6.480251, -76.356593) by Mathieu Joron in Oct 2012;. Line started from an adult female on 13 Oct 2012. ",LF,Peru 3-2 (10A4)
JU2214,Caenorhabditis briggsae,wild isolate,"Isolated by Lise Fr_zal from a Syzygium samarangense fruit collected in Tarapoto (Peru; -6.462863, -76.335715) by Mathieu Joron in Oct 2012. Line started from an adult female on 13 Oct 2012.  Same fruit as JU2215.",LF,Peru 2B10A
JU2215,Caenorhabditis sp. 8 or 24,wild isolate,"Male female species Isolated by Lise Fr_zal  from a Syzygium samarangense fruit collected in Tarapoto (Peru; -6.462863, -76.335715) by Mathieu Joron in Oct 2012. Line started from an adult female on 13 Oct 2012. Same fruit as JU2214",LF,Peru 2B4
JU2216,Caenorhabditis briggsae,wild isolate,"Isolated by Lise Fr_zal from from a mango collected in Tarapoto (Peru; -6.480251, -76.356593) by Mathieu Joron in Oct 2012; same mango as JU2213. Adult isolated on 13 Oct 2012.",LF,Peru 3-1 (10A3)
JU2217,Caenorhabditis briggsae,wild isolate,"Isolated by Lise Fr_zal from apple O914 sampled on 7 Sep 2012 in the Orsay orchard (Essonne, France).  Line started from a L3 larva isolated on 7 Sep 2012.",LF,o914-B5
JU2218,Caenorhabditis briggsae,wild isolate,"Isolated by Lise Fr_zal from an apple O949 sampled on 22 Oct 2012 in the Orsay orchard (Essonne, France). Adult isolated on 22 Oct 2012. ",LF,o949-B4
JU2219,Caenorhabditis briggsae,wild isolate,"Isolated by Lise Fr_zal from an apple O963 sampled on 22 Oct 2012 in the Orsay orchard (Essonne, France). Adult isolated on 22 Oct 2012. ",LF,o963-1
JU2220,Caenorhabditis briggsae,wild isolate,"Isolated by Lise Fr_zal from an apple O951 sampled on 22 Oct 2012 in the Orsay orchard (Essonne, France). Adult isolated on 24 Oct 2012. ",LF,o951-A2
JU2221,Caenorhabditis briggsae ,wild isolate,"From an apple collected by Allowen Evin in Le Perray (Yvelines, France) on 14 Sep 2012. Isolated by Lise Fr_zal. L4 isolated on 16 Sep 2012.",LF,LeP3-B10
JU2222,Caenorhabditis briggsae ,wild isolate,"From an apple collected by Allowen Evin in Le Perray (Yvelines, France) on 14 Sept 2012. Isolated by Lise Fr_zal. Adult isolated on 15 Sep 2012.",LF,LeP3A1
JU2223,Caenorhabditis briggsae,wild isolate,"From the apple O951 collected in the Orsay orchard (Essonne, France) on 22 Oct 2012. Isolated by Lise Fr_zal. L4 plated on 23 Oct 2012. ",LF,o951-A1
JU2224,Caenorhabditis briggsae,wild isolate,From an apple collected by Allowen Evin in Le Perray (Yvelines France) on 14 Sept 2012.Isolated by Lise Fr_zal. Adult isolated on 15 Sep 2012.,LF,LeP3A4
JU2225,Caenorhabditis briggsae ,wild isolate,"From the apple O949 collected in the Orsay orchard (Essonne, France) on 22 Oct 2012. Isolated by Lise Fr_zal. Adult isolated on 24 Oct 2012.",LF,o949-B5
JU2226,Caenorhabditis briggsae ,wild isolate,"From the apple O951 collected in the Orsay orchard (Essonne, France) on 22 Oct 2012. Isolated by Lise Fr_zal. Adult isolated on 23 Oct 2012.",LF,o951-A5
JU2227,Caenorhabditis briggsae ,wild isolate,"From the apple O944 collected in the Orsay orchard (Essonne, France) on 22 Oct 2012. Isolated by Lise Fr_zal. Adult plated on 26 Oct 2012.",LF,o944-D2
JU2228,Caenorhabditis briggsae ,wild isolate,"From the apple O957 collected in the Orsay orchard (Essonne, France) on 22 Oct 2012. Isolated by Lise Fr_zal. Adult isolated on 26 Oct 2012.",LF,o957-C2
JU2229,Caenorhabditis briggsae ,wild isolate,"From a rotten walnut collected by Renaud De Rosa in Nanteau-sur-Lunain (Seine-et-Marne, France;48.25507, 2.823217) on 22 Oct 2012.  Isolated by Lise Fr_zal. Adult isolated on 26 Oct 2012.",LF,noix1
JU2233 ,Caenorhabditis briggsae ,wild isolate,"From the apple O949 collected in the Orsay orchard  (Essonne, France) on 22 Oct 2012. Isolated by Lise Fr_zal. Adult isolated on 22 Oct 2012.  ",LF,o949-B1
JU2234,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a rotten plum collected in Nantes (France; 47,227; -1,583) on the 11 Nov 2012; L4 isolated on 12 Nov 2012.",LF,prune7.2
JU2235,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from slug  collected in Nantes (France; 47,227; -1,583) on the 11 Nov 2012; L4 isolated on 12 Nov 2012.",LF,slug 1
JU2236,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a rotten plum collected in Nantes (France; 47,227; -1,583) on the 11 Nov 2012; young adult isolated on 12 Nov 2012.",LF,prune 10.3
JU2237,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a rotten plum collected in Nantes (France; 47,227; -1,583) on the 11 Nov 2012; L4 isolated on 12 Nov 2012.",LF,prune 4.3
JU2238,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal  from a rotten plum collected in Nantes (France; 47,227; -1,583) on the 11 Nov 2012; L4 isolated on 12 Nov 2012.",LF,prune 8.1
JU2239,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a rotten plum collected in Nantes (France; 47,227; -1,583) on the 11 Nov 2012; L4 isolated on  12 Nov 2012.",LF,prune 6.1
JU2240,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a rotten peach collected in Nantes (France; 47,227; -1,583) on the 11 Nov 2012; young adult isolated on 12 Nov 2012",LF,peach 2B1
JU2241,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a rotten plum collected in Nantes (France; 47,227; -1,583) on 11 Nov 2012; L4 isolated on 12 Nov 2012.",LF,prune 8.2
JU2242,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a rotten plum collected in Nantes (France; 47,227; -1,583) on 11 Nov 2012; L4 isolated on 12 Nov 2012.",LF,prune 9.3
JU2243,Caenorhabditis elegans,wild isolate,"Isolated from a rotten plum collected in Nantes (France; 47,227; -1,583) on 11 Nov 2012.  Young adult isolated on 12 Nov 2012",LF,prune 5.2
JU2244,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a rotten plum collected in Nantes (France; 47,227; -1,583) on 11 Nov 2012; L4 isolated on 12 Nov 2012.",LF,prune11.1
JU2245,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a rotten plum collected in Nantes (France; 47,227; -1,583) on 11 Nov 2012; Young adult isolated on 12 Nov 2012.",LF,prune 6.2
JU2246,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a rotten plum collected in Nantes (France; 47,227; -1,583) on 11 Nov 2012; Young adult isolated on 12 Nov 2012.",LF,prune 3.1- drh1 long
JU2247,Caenorhabditis briggsae ,wild isolate,"Isolated by Lise Fr_zal from the apple O951 collected in the Orsay orchard (Essonne, France) on 22 Oct 2012. Young adult isolated on 24 Oct 2012.",LF,o951-A10
JU2248,Caenorhabditis briggsae ,wild isolate,"Isolated by Lise Fr_zal from the apple O944 collected in the Orsay orchard  (Essonne, France) on 22 Oct 2012. ",LF,o944-C3
JU2249,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a plum collected in Nantes (France; 47,227; -1,583) on 11 Nov 2012. L4 isolated on 12 Nov 2012.",LF,prune1.1
JU2250,Caenorhabditis elegans,wild isolate ,"Isolated by Lise Fr_zal from an apple collected in Cardroc (Ile et Vilaine, France;48.285278, -1.891389) on the 15 Nov 2012. L4 individual isolated on 19 Nov 2012.",LF,C1
JU2251,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal  from an apple collected in Cardroc (Ille et Vilaine, France;48.285278, -1.891389) on 15 Nov 2012. L4 individual isolated on 19 Nov 2012.",LF,C2
JU2252,Caenorhabditis briggsae,wild isolate,"Isolated by Lise Fr_zal from an apple O949 collected in the Orsay orchard (Essonne, France) on 22 Oct 2012. L4 isolated on 24 Oct 2012.",LF,o949-A6
JU2253,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a plum collected on the 11 Nov 2012 in Nantes (France  47,227; -1,583); young adult isolated on 12 Nov 2012.",LF,prune 4.4
JU2254,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from an plum collected on the 11 Nov 2012 in Nantes (France; 47,227; -1,583); young adult isolated on 12 Nov 2012.",LF,prune 4.5.
JU2255,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a peach collected on the 11 Nov 2012 in Nantes (France; 47,227; -1,583); young adult isolated on 12 Nov 2012.",LF,peach 3.2
JU2457,Caenorhabditis briggsae,wild isolate,From a rotting carambola collected by Ludmilla Lokmane in Madre de Dios (Peru) in Jan 2013. Isolated by Lise Fr_zal. Line started from an adult on 9 Jan 2013.,LF,Amazonia 2.1
JU2458,Caenorhabditis sp. 31,wild isolate,"Male-female species isolated from a fleshy fruit with kernel collected by Ludmilla Lokmane in Madre de Dios (Peru; -12.801653, -69.289488) in Jan 2013. Line started from an adult on 9 Jan 2013. Parallel mating.",LF,Amazonia 1.1
JU2459,Caenorhabditis (hermaphrodite),wild isolate,"From a rotting kumquat-like fruit collected by Ludmilla Lokmane in Madre de Dios (Peru; -12.801653, -69.289488) in Jan 2013. Isolated by Lise Fr_zal. Line started from an adult on 9 Jan 2013.  ",LF,Amazonia 3.5
JU2460,Caenorhabditis elegans,wild isolate,"Isolated from rotting cabbage leaves sampled in a field on Ile Callot (Finistère, France; 48.6934, -3.9251) on 28 Dec 2012 by MAF.",MAF,Callot 1.1
JU2461,Caenorhabditis elegans,wild isolate,"From a rotting carambola collected by Ludmilla Lokmane in Madre de Dios (Peru; -12.801653, -69.289488) in Jan 2013. Isolated by Lise Fr_zal. Line started from an adult isolated on 9 Jan 2013.",LF,Amazonia 6.3
JU2464,Caenorhabditis elegans,wild isolate,"From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Fr_zal from an adult isolated on 9 Jan 2013.",LF,Ag. Cal 2
JU2465,Caenorhabditis elegans,wild isolate,"From a rotting carambola collected by Ludmilla Lokmane in Madre de Dios (Peru; -12.801653, -69.289488) in Jan 2013. Isolated by Lise Fr_zal. Line started from an adult plated on 9 Jan 2013.",LF,Amazonia 4.5
JU2466,Caenorhabditis elegans,wild isolate,"From a rotting lemon collected by Ludmilla Lokmane in Ollanta (Peru; -13.266085, -72.179351) in Jan 2013. Isolated by Lise Fr_zal. Line started from an adult isolated on 9 Jan 2013.",LF,ollanta 3A1
JU2467,Caenorhabditis elegans,wild isolate,"From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Fr_zal.  Line started from an adult on 9 Jan 2013.",LF ,Ag. cal 5
JU2468,Caenorhabditis elegans,wild isolate,"From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Fr_zal from an adult on 9 Jan 2013.",LF,Ag. cal 1
JU2469,Caenorhabditis sp. 31,wild isolate,"Male female species. From a rotting kumquat-like fruit collected by Ludmilla Lokmane in Madre de Dios (Peru; -12.801653, -69.289488) in Jan 2013. Isolated by Lise Fr_zal. Line started from an adult isolated on 9 Jan 2013.  ",LF,Amazonia 3.1
JU2470,Caenorhabditis briggsae,wild isolate,"From a frotting lower (bougainvillia) collected in Mayotte (-12.732834, 45.186209)by Vincent Debat on 19 Jan 2013. Isolated by Lise Fr_zal. Line started from an adult isolated on 23 Jan 2013. ",LF,fleurs 1.3
JU2471,Caenorhabditis briggsae,wild isolate,"Hermaphrodite species. From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Fr_zal. Line started from a young adult isolated on 9 Jan 2013.",LF,Amazonia 1.2
JU2472,Caenorhabditis briggsae,wild isolate,"From a rotten banana stem collected in Mayotte (-12.732834, 45.186209) by Vincent Debat on 19 Jan 2013. Isolated by Lise Fr_zal.  Line started from a L4 larva on 23 Jan 2013.",LF,AV 5.2
JU2473,Caenorhabditis briggsae,wild isolate,"From a myriapod collected in Mayotte (-12.732834, 45.186209) by Vincent Debat on 19 Jan 2013. Isolated by Lise Fr_zal. Line started from a L4 larva on 23 Jan 2013.",LF,Myr 1
JU2478,Caenorhabditis elegans,wild isolate,"Isolated from Denis ThieffryÕs compost heap in Brussels, Belgium in Feb 2013.",MAF,Brux1
JU2484,Caenorhabditis nigoni,wild isolate,Isolated from a rotting goyave sampled in Sao Tom_ by R_my Froissart on 28 Feb 2013. Plugged female isolated by LF on 15 Mar 2013. Male-female species.,LF,Goy1
JU2513,Caenorhabditis elegans,wild isolate,"Isolated from a rotting orange sampled by MAF near Aigio, Greece on 7 May 2013. 38.26016, 22.0736.",MAF,G6.1
JU2505,Caenorhabdits tropicalis,wild isolate,"Isolated from a rotting flower sampled on the plant above the ground by Alexander Peluffo in Costa Rica (10.4708, -84.6452) in Apr 2013. Plugged female isolated by Lise Frezal on the 25 Apr 2013. Male-female species. ",LF,Flower2
JU2506,Caenorhabditis briggsae,wild isolate,"From the apple O133.2 sampled in Orsay,France by MAF on 23 Oct 2008. Isolated as a dauer larva on 23 Oct.",LF,O133.2
JU2507,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from rotting figs collected in Thailand by Howard Baylis next to waterfall in Khao Sok National Park, Thailand in April 2013, ca. 8.893 N, 98.512 E.(same location as JU2070).",Howard Baylis and MA,TH3.1
QX2263,Caenorhabditis sp. 27,wild isolate,From Argentina.,Erik Andersen via K. Kiontke,
DF5152,Caenorhabditis sp. 30,wild isolate,"Sample from Dave Hall, Belize. Isolated by Karin Kiontke in 2013.",Karin Kiontke,
JU2517,Caenorhabditis briggsae,wild isolate,Line from the apple O917.A4 collected in the Orsay orchard and plated on 6 Sep 2012; line started from an adult on 7 Sep 2012;  infected with Santeuil like virus,LF,o917.A4
JU2257,Caenorhabditis elegans,wild isolate,"Isolated from compost (in container) sampled in the garden in le Blanc (Indre), France on 15 Aug 2013. ",MAF,B13-5.5
JU2287,Caenorhabditis elegans,wild isolate,"Isolated from compost (in container) sampled in the garden in le Blanc (Indre), France on 15 Aug 2013. ",MAF,B13-5.8
JU2316,Caenorhabditis elegans,wild isolate,"Isolated from rotten Ficus macrophylla fruits sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a post-dauer juvenile on 26 Aug. Same sample as JU2317 and JU2377.",MAF,L13-1.3
JU2317,Caenorhabditis elegans,wild isolate,"Isolated from rotten Ficus macrophylla fruits sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a dauer juvenile on 26 Aug. Same sample as JU2316 and JU2377.",MAF,L13-1.7
JU2377,Caenorhabditis elegans,wild isolate,"Isolated from rotten Ficus macrophylla fruits sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a L4 juvenile on 26 Aug. Same sample as JU2316 and JU2317.",MAF,L13-1.11
JU2519,Caenorhabditis elegans,wild isolate,"Isolated from rotten Ficus isophlebia fruits sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a dauer juvenile on 26 Aug. Same sample as JU2520-1. Same tree as JU778-81.",MAF,L13-5.3
JU2521,Caenorhabditis elegans,wild isolate,"Isolated from rotten Ficus isophlebia fruits sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a young adult on 27 Aug. Same sample as JU2519.-20 Same tree as JU778-81.",MAF,L13-5.7
JU2523,Caenorhabditis elegans,wild isolate,"Isolated from rotten fruits of Harpephyllum caffrum (Anacardiaceae) sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a young adult on 27 Aug. Same sample as JU2523. Same tree as JU775-7.",MAF,L13-6.5
JU2524,Caenorhabditis elegans,wild isolate,"Isolated from rotten fruits of Chrysophyllum imperiale sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a dauer juvenile on 26 Aug. Same sample as JU2525-6. ",MAF,L13-7.1
JU2525,Caenorhabditis elegans,wild isolate,"Isolated from rotten fruits of Chrysophyllum imperiale sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a dauer juvenile on 26 Aug. Same sample as JU2524,26. ",MAF,L13-7.8
JU2526,Caenorhabditis elegans,wild isolate,"Isolated from rotten fruits of Chrysophyllum imperiale sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a dauer juvenile on 26 Aug. Same sample as JU2524-5. ",MAF,L13-7.9
JU2527,Caenorhabditis elegans,wild isolate,"Isolated from rotten apples sampled on 19 Aug 2013 in Mellac (Finistere, France; 47.8797, -3.5999) by Fabrice Besnard. Plated on 20 Aug. Started from an L4.",LF,Ap4
JU2530,Caenorhabditis elegans,wild isolate,"Isolated from rotten apples sampled on 19 Aug 2013 in Mellac, Bretany (47.8797, -3.5999) by Fabrice Besnard. Plated on 20 Aug. Started from an L4. ",LF,Ap5
JU2531,Caenorhabditis briggsae,wild isolate,"Isolated from a snail sampled in Santeuil ( 49.12012, 1.951369) by MAF, SM, LF on 7 Aug 2013; likely postdauer plated on 8 Aug 2013.",LF,S222-6
JU2533,Caenorhabditis briggsae,wild isolate,"Isolated from an apple collected in Bellot (77, France) by Michel Volovitch on 1 Sep 2013. Plated on 2 Sept. Started from one L4.",LF,Bel13-1
JU2534,Caenorhabditis elegans,wild isolate,"Isolate from a cherry (JU2535 collected beneath same tree) by Sarah Marsh 9-Juin-2013-Latitude - Longitude: 49.357921,0.097087",SM,
JU2535,Caenorhabditis briggsae,wild isolate,"Isolate from a pile of dry orqanic matter beneath a cherry tree (JU2534) by Sarah Marsh 9-Juin-2013-Touques; Latitude - Longitude:49.357921,0.097087",SM,
JU2536,Caenorhabditis briggsae,wild isolate,"Isolated from rotten stems and leaves collected by Nelly Gidaszewski on 27 Aug 2013 in Verezegyhaz (Budapest, Hungary 47.645976,19.274783). Plated on 5 Sep 2013. Started from one L4. ",LF,bud3-1
